Port,Latitude,Longitude
Skjervøy,70.1709973,20.6989897
Skjærhalden,59.0252713,11.0368478
Sklinna fyr,65.2020391,10.9951459
Skogn,63.7038577,11.1923998
Skogsvåg,60.2617323,5.110015
Skorgeneset,62.5769256,7.1174037
Skrolsvik,69.0640392,16.8150552
Skudeneshavn,59.1497472,5.2581715
Skulte,57.3337572,24.4640594
Skutskär,60.6352228,17.4092868
Skutvik - Hamarøy,68.0154117,15.3323268
Skålevik,58.0808745,8.0174893
Skånevikfjorden,59.734501,5.8278593
Slagen Ankring,,
Slagentangen,59.3155488,10.5271409
Sleipner Vest,,
Slemmestad,59.7816522,10.4958668
Sligo,54.2720696,-8.4751357
Slite,57.7072207,18.8019196
Sluiskil,51.2779511,3.8350654
Sløvåg,60.8524007,5.069839
Sløvåg Industriområde,,
Smøla,63.4896442,7.6998408
Snekkevik - Kragerø,58.8607472,9.2981917
Snorre,55.6992298,13.248286
Sognefjorden,61.177585,6.6958929
Solmundefjord,62.1575065,-6.7525633
Solund,61.0507558,4.5253601
Sommarøy,68.9055138,15.0628639
Sortland,68.767296,15.3679179
Southampton,50.9025349,-1.404189
Spania,39.3260685,-4.8379791
Spildepollen,60.240778,5.043256
Spjelkavik,62.4629536,6.3644571
St Malo,48.649518,-2.0260409
St Petersburg,59.9606739,30.1586551
St Wandrille-rançon,49.5267391,0.7779963
St. Petersburg,59.938732,30.316229
Stade,53.599794,9.475438
Stakkvik,69.9542979,19.6709416
Stamsund,68.1300745,13.8492285
Standal,61.512455,5.223407
Stanlow,53.2783095,-2.8411357
Statfjord A,61.2551784,1.8521147
Statfjord C,0.5,32.0
Stathelle,59.043879,9.6952755
Stavanger,58.9699675,5.7318101
Stavanger Øst,58.9694029,5.7579687
Steinkjer,64.050737,11.481909
Steinshamn,62.7811683,6.4695798
Steinsvika - Volda,62.0045009,5.8533506
Steinvig,58.95831,6.00599
Stenungsund,58.083333,11.916667
Stettin,53.4301818,14.5509623
Stevns Pier,55.3223706,12.4561984
Stigsnaes Inter Terminal,,
Stigsnæs,55.2113165,11.2720212
Stjernsundet,70.2302092,22.7664178
Stjørdal,63.4627028,11.1344723
Stockholm,59.3251172,18.0710935
Stokksund,62.3038616,5.7274569
Stokkvågen,66.3381628,13.0138684
Stokmarknes,68.5670003,14.9133484
Storbritannia,54.3151594,-1.9181532
Stord,59.8250205,5.4883706
Stord base,,
Storebø,60.0961406,5.2247435
Storesund,60.316757,4.984269
Storugns,57.83333,18.8
Storøya Øst,,
Stralsund,54.3096314,13.0820846
Stranda,62.1678462,6.9302137
Strandviksflaket Ankring,,
Straume,60.3583797,5.1235129
Streymnes,62.1918069,-7.0320999
Struer,56.4866768,8.5951427
Strømstad,58.9377567,11.1736096
Studstrupværkets Havn,62.00973,-6.77164
Sture,44.08056,16.61222
Stø,69.018831,15.1239731
Suez Canal,30.6052767,32.3331003
Sunde,59.8359038,5.7114821
Sunderland,54.9058512,-1.3828727
Sundsvall,62.3907552,17.3071024
Sunndalsøra,62.6568743,8.6810432
Surnadal,62.9228432,8.7879306
Svartebukt,59.1016425,11.8585342
Svartisen,66.6537603,13.8984879
Svelgen,61.7683359,5.2906103
Svelvik,59.6135205,10.4091066
Svolvær,68.2321709,14.5646019
Svolvær Osan,68.2321003,14.5329194
Swinoujscie,53.9097477,14.2510703
Sykkylven,62.3430581,6.6090367
Symbister,60.3419325,-1.0226862
Sævareid,60.1903451,5.7618211
Sævlandsvik,,
Sævrøy,60.7885441,4.8304703
Södertälje,59.1964289,17.6271663
Sölvesborg,56.0506535,14.5871906
Sørarnøy,67.1363084,13.9673136
Sørkjosen,69.7860232,20.9502985
Sørreisa,69.1005683,18.1768429
Sørvær,70.632223,21.9854426
Sørøysundet,70.5120738,22.9655443
Søvik,60.212874,5.3841209
"Taiwan, Province Of China",24.0,121.0
Talgsjøen,63.1290408,7.9126339
Talknafjørdur/sveinseyri,65.6303024,-23.85333
Tallinn,59.4372155,24.7453688
Tanafjorden,70.6731542,28.4024034
Tananger,58.9359135,5.5864225
Tangier,35.7696302,-5.8033522
Tarragona,41.1172364,1.2546057
Tau,30.9248944,101.1574419
Teesport,54.6010289,-1.1466014
Tema,5.6596441,-0.0096592
Terneuzen,51.298843,3.8422044
Testhavn Rogaland,58.9647,5.7312
Tetney Terminal,53.4998741,0.001018
Thailand,14.8971921,100.83273
Thamesport,51.4369809,0.6850686
Thamshamn,63.3186334,9.8765769
Thingeyri,65.8791205,-23.4924457
Thisted,56.9562093,8.6848749
Thorshavn,62.0101396,-6.7715709
Thorshofn,62.0101396,-6.7715709
Tilbury,51.4631174,0.3643896
Tjeldbergodden,63.4125787,8.6819432
Tjeldsundet,68.5583758,16.329975
Tjørvåg,62.2805308,5.7308762
Tjøtta,65.8377176,12.4590643
Tofte - Hurum,59.5441495,10.5651549
Toftir,62.0909703,-6.7322421
Tomma,66.2566165,12.8006542
Tomrefjord,62.584113,6.9328515
Tomrefjorden,62.62201,6.8908308
Tonnes,66.5137635,13.0143189
Torangsvåg,60.1135893,5.1533597
Tornio,65.8457589,24.1464
Torrevieja,37.9775416,-0.6828446
Torsken,69.3520444,17.0457813
Torvika,61.9207631,5.7879703
Tovik,68.6801321,16.8689711
Tranmere,53.3754564,-3.0120111
Trelleborg,55.37592,13.1461522
Trieste,45.6496485,13.7772781
Tromsø,69.6516345,18.9558585
Tromsø Reden,,
Trondheim,63.4304475,10.3952118
Trondheim Ankring,,
Træna,66.5571596,11.9193084
Tufjorden,71.0786583,25.7409927
Tyborøn,55.6877306,12.4743557
Tyne,,
Tyrihans,59.7690073,10.0027809
Tysnes,59.9867036,5.5334667
Tyssedal,60.1163142,6.5590922
Tytebærvika,60.87252,4.79743
Tórshavn,62.0101396,-6.7715709
Tønsberg,59.2677363,10.4080715
USA,39.7837304,-100.445882
Uddevalla,58.3490555,11.9382855
Uggdal,60.0065309,5.5268597
Ukjent lokasjon Norge,62.0,10.0
"Ukjent lokasjon, ukjent land",,
Ula,40.045951,8.904029
Ullsfjord,69.5326267,19.6411055
Ulsteinvik,62.3426629,5.84686
Uløybukt,69.8595127,20.6842726
Ura Guba,69.291389,32.793522
Uskedalen,59.9344607,5.8662188
Ust-Luga,59.659244,28.2695087
Uthaug,63.7257243,9.5993996
Utne,59.2502073,10.8332147
Utskarpen Ankring,,
Utvorda,64.5930335,10.9573861
Uusikaupunki (nystad),60.7973268,21.4258987
Vaasa (vasa),63.0818209,21.4798125
Vada,43.3509463,10.4581803
Vadheim,61.2091732,5.8226559
Vadla,59.33333,6.43333
Vadsø,70.2267198,29.7828009
Vaksdal,60.6734959,5.7670174
Valberg - Kragerø,58.8845451,9.4188321
Valderhaugfjorden,62.4810845,6.100845
Valhall,56.2856442,12.8428699
Valldal,62.2980545,7.2623851
Vallvik,61.1843656,17.1763444
Valsneset,63.820758,9.636737
Vannavalen,70.1225992,19.9739932
Vannøy,36.3134631,-81.2731477
Vannøy Ankring,,
Varangerfjorden,70.0163643,29.7908006
Varberg,57.1057412,12.2502949
Vardø,70.3308158,30.9618205
Varg Field,,
Vargsundet,60.1864791,19.8418717
Varna,43.2052135,27.8602025
Vartdal,62.3010778,6.0839841
Vatlestraumen,60.3358696,5.1899242
Vats,59.4907066,5.7303381
Vedavågen,59.2926774,5.2259466
Vega,35.24603,-102.4252734
Vega Nes,65.7058056,11.9327
Vejle,55.707931,9.5329419
Velsen,52.4519103,4.6038911
Velsen-noord,52.4738528,4.6379311
Ventspils,57.3903918,21.5635991
Verdal,63.7862256,11.920335
Veslefrikk,67.2906556,14.5818382
Vestbase,63.1059452,7.7994389
Vestnes,62.56819,7.1106077
Vettås,60.5916063,5.180176
Vevang,63.0048974,7.2956551
Vierow,54.1175854,13.5730331
Vigo,42.2376602,-8.7247205
Vigra,62.5592381,6.0832
Vik - Sogn,61.0897433,6.5871233
Vikan - Bodø,67.299575,14.6886582
Vikan - Smøla,63.3800372,8.1955097
Vikedal,59.4981186,5.9025945
Vila Do Conde,41.3540398,-8.7435403
Vila do Conde,41.3540398,-8.7435403
Vindafjord,59.5811216,5.7581985
Vingsand,64.3472987,10.4632238
Vinjeøra,63.2061652,8.9859773
Visnes - Eide,61.905453,6.7251242
Vistdal,61.8716488,9.0027669
Visten,59.6770248,13.3936133
Visund,59.2114044,16.3000363
Vlissingen,51.4480929,3.5697992
Volda,62.0803797,6.2744108
Voll - Skien,59.1276169,9.5069937
Volos,39.3624833,22.9401864
Vopnafjørdur,65.7540583,-14.8294887
Vordingborg,55.0102518,11.9097478
Vordingborg Sydhavnen,,
Vormedal,59.3549161,5.3222465
Vyborg,60.709217,28.744051
Västerås,59.6110992,16.5463679
Vågaholmen,66.7135006,13.2877436
Vågsfjorden,68.9470477,16.9622026
Vågsvåg,61.9374653,5.048424
Værøy Sørlandsvågen,67.6579311,12.7048745
Wallhamn,58.003856,11.7016746
Warrenpoint,54.0999923,-6.2512827
Wilhelmshaven,53.5278793,8.106301
Wilmington,39.7459468,-75.546589
Wismar,53.8909832,11.4647932
Wolgast,54.0536473,13.7757809
Yerseke,51.4935582,4.0452502
Ylvingen,65.6208909,12.1518624
Zarzis,33.5036797,11.1097173
Zeebrugge,51.3312211,3.207561
Zonguldak,41.250324,31.8389738
Zwijndrecht,51.8162227,4.6405166
Å i Lofoten,67.880227,12.978579
Åbo,60.4517531,22.2670522
Ågotnes,60.4042983,5.0024982
Åheim,62.0360845,5.5306672
Åkrafjorden,59.7952804,6.1707113
Ålborg,57.0462626,9.9215263
Ålesund,62.4802363,6.5550739
Ålvik,63.7903095,20.2886551
Åmøyfjorden,59.0112521,5.6869373
Åndalsnes,62.5681692,7.6867621
Årdal - Hjelmeland,59.1508412,6.1811957
Årdalstangen,61.236136,7.7025037
Årstein-Gratangen,68.7352629,17.4181364
Åsgard feltet,,
Øksfjord,70.2394948,22.3505275
Ølen,59.6056388,5.8072592
Ørnes,49.252814,5.4718272
Ørsta,62.2470538,6.2859368
Øye,58.2844813,6.9059424
Ückermünde,,
